0.0,0.0,26538894996.014275,26538894996.014275,0.02582097053527832
0.002,14753914.40674417,25745623255.67532,25745627483.150612,0.04187488555908203
0.004,28213273.412249986,24911100873.599537,24911116850.182537,0.057460784912109375
0.006,40230270.4333445,24045302095.452255,24045335750.124592,0.0729517936706543
0.008,50698875.03064821,23158694194.024532,23158749688.795269,0.08818697929382324
0.01,59554851.84943937,22261852481.302563,22261932141.655087,0.10335087776184082
0.012,66774612.99112364,21365106595.208744,21365210943.811726,0.11861395835876465
0.014,72372997.7344187,20478227219.88277,20478355107.770466,0.13378691673278809
0.016,76400121.88947655,19610159892.540043,19610308717.345856,0.14971590042114258
0.018000000000000002,78937473.75631137,18768810151.323143,18768976147.386772,0.16544795036315918
0.02,80093453.13288659,17960882230.25121,17961060810.82597,0.18079090118408203
0.022,79998542.32732973,17191771790.531982,17191957918.297314,0.19623589515686035
0.024,78800267.22634917,16465511559.987137,16465700119.162411,0.21159577369689941
0.026000000000000002,76658067.64240122,15784767125.16146,15784953267.428848,0.2276008129119873
0.028,73738168.5420051,15150878561.054237,15151057999.008282,0.2430429458618164
0.03,70208550.26898853,14563942229.923222,14564111456.490295,0.258530855178833
0.032,66234155.89922721,14022926082.79492,14023082503.035406,0.27387285232543945
0.034,61972503.08736282,13525811249.375492,13525953221.302797,0.2890889644622803
0.036000000000000004,57569851.6438025,13069752550.58371,13069879342.262793,0.3040947914123535
0.038,53158034.64269305,12651250680.64997,12651362359.892052,0.31922483444213867
0.04,48852017.022330426,12266329096.383368,12266426375.287479,0.3339707851409912
