0.0,0.0,26486516454.283356,26486516454.283356,0.23113203048706055
0.002,-249574.50539546332,25712996780.113102,25712996781.32431,0.34489011764526367
0.004,-471715.8009604859,24928782038.99508,24928782043.458107,0.4532949924468994
0.006,-651467.2055914756,24137669901.3909,24137669910.182335,0.5612280368804932
0.008,-767009.4292941549,23344062251.373814,23344062263.974522,0.669482946395874
0.01,-788241.3240806651,22552718571.09006,22552718584.864994,0.7802541255950928
0.012,-677491.7794759307,21768505824.447124,21768505834.989765,0.8869109153747559
0.014,-392224.9294939944,20996159143.77617,20996159147.439705,0.9965870380401611
0.016,110622.58814818735,20240065844.456497,20240065844.758801,1.1053061485290527
0.018000000000000002,869208.7204592676,19504083259.647575,19504083279.015926,1.214812994003296
0.02,1910909.5659309917,18791398357.459003,18791398454.619823,1.324134111404419
0.022,3246700.1231680266,18104434125.313717,18104434416.431946,1.4346649646759033
0.024,4866472.314195872,17444804508.528393,17444805187.313652,1.5463359355926514
0.026000000000000002,6735884.881716179,16813316551.693354,16813317900.985243,1.6576709747314453
0.028,8795199.084122362,16210015565.736023,16210017951.776953,1.7692890167236328
0.03,10960371.939684296,15634266824.50485,15634270666.377951,1.8807010650634766
0.032,13126471.445030048,15084865606.639902,15084871317.801819,1.9915800094604492
0.034,15173263.607355673,14560166398.680399,14560174304.766762,2.101505994796753
0.036000000000000004,16972617.742506273,14058221762.619625,14058232008.21302,2.2091970443725586
0.038,18397202.160242442,13576921696.015533,13576934160.434919,2.3181989192962646
0.04,19329812.71691297,13114125189.842302,13114139435.605986,2.4251909255981445
