0.0,2.088090622619431,0.0,2.088090622619431
0.01,2.1432671531044454,0.05517653048501186,2.0880906226194336
0.02,2.24798424049236,0.22070612194004804,2.027278118552312
0.03,2.9302946867956177,0.7273982349601249,2.202896451835493
0.04,11.85907197301346,7.746371499066528,4.112700473946932
0.05,148.7003753959172,16.551117350252216,132.149258045665
0.06,2371.1242292570837,2300.3697259580667,70.75450329901685
0.07,39841.29983664678,1696.1863109975343,38145.11352564925
0.08,689807.0450198023,591854.7260665962,97952.31895320608
0.09,12223465.24852561,3766523.803690651,8456941.444834959
0.1,220746129.01724416,108261039.30291963,112485089.71432453
0.11,4050126898.7311707,2870832629.403554,1179294269.327617
0.12,75314517973.39098,9854990390.075922,65459527583.31505
0.13,1416779211250.5872,1361698218614.82,55080992635.767166
0.14,26920325670072.586,861575184172.3182,26058750485900.27
0.15,516032152809916.06,458592764286898.94,57439388523017.11
0.16,9968948596199720.0,2612398411996525.0,7356550184203195.0
0.17,1.939231152801271e+17,1.0541155166993211e+17,8.851156361019499e+16
0.18,3.795835523018635e+18,2.500226429867554e+18,1.295609093151081e+18
0.19,7.471705171937139e+19,1.25761513168621e+19,6.214090040250929e+19
0.2,1.478229088987607e+21,1.3950961788990212e+21,8.313291008858584e+19
0.21,2.9381902857042066e+22,7.504848244006152e+20,2.863141803264145e+22
0.22,5.864981640720605e+23,5.385606467956957e+23,4.79375172763648e+22
0.23,1.1753195765158488e+25,2.519913122216893e+24,9.233282642941595e+24
0.24,2.363850331170416e+26,1.4202933017799082e+26,9.435570293905078e+25
0.25,4.770303863436115e+27,2.872493481318712e+27,1.897810382117403e+27
0.26,9.656826919243466e+28,2.0636109579441735e+28,7.593215961299292e+28
0.27,1.960633446860272e+30,1.7999255558217993e+30,1.607078910384727e+29
0.28,3.9916500890678667e+31,1.0605315756900095e+30,3.885596931498866e+31
0.29,8.147626497707825e+32,7.679624610589266e+32,4.680018871185589e+31
0.3,1.6671230249893747e+34,2.8140470805507453e+33,1.3857183169343002e+34
0.31,3.419032340295608e+35,2.2557484099257438e+35,1.1632839303698642e+35
0.32,7.02722624536458e+36,3.7982774937226276e+36,3.228948751641952e+36
0.33,1.4473058000284227e+38,3.861295139209218e+37,1.0611762861075009e+38
0.34,2.98666504643621e+39,2.6384180960857065e+39,3.482469503505033e+38
0.35000000000000003,6.174759493829147e+40,2.227344658628177e+39,5.952025027966329e+40
0.36,1.27885462631885e+42,1.2280918449423399e+42,5.076278137651014e+40
0.37,2.6530943716980773e+43,3.361690702721441e+42,2.3169253014259333e+43
0.38,5.512893241153832e+44,3.962211674641648e+44,1.5506815665121842e+44
0.39,1.1472782505082834e+46,5.454142404917717e+45,6.018640100165117e+45
0.4,2.3910513943344757e+47,7.796699917668956e+46,1.61138140256758e+47
0.41000000000000003,4.9901119791859974e+48,4.196414412992329e+48,7.936975661936681e+47
0.42,1.0428085820035584e+50,5.603592179818073e+48,9.867726602053778e+49
0.43,2.181950243040718e+51,2.1182686177575932e+51,6.368162528312489e+49
0.44,4.5709373467613006e+52,4.108511817531956e+51,4.160086165008105e+52
0.45,9.586525981301315e+53,7.4304576739939375e+53,2.156068307307377e+53
0.46,2.0127472884713147e+55,8.249910684822103e+54,1.1877562199891044e+55
0.47000000000000003,4.230256727981487e+56,1.6439863675211487e+56,2.5862703604603385e+56
0.48,8.899633226201487e+57,7.056470644842298e+57,1.84316258135919e+57
0.49,1.8740654544600098e+59,1.4710927478866137e+58,1.7269561796713484e+59
0.5,3.949889094806651e+60,3.8462898289501746e+60,1.0359926585647625e+59
0.51,8.33208393952786e+61,4.9942410668572425e+60,7.832659832842136e+61
0.52,1.759028468722888e+63,1.4534938521368308e+63,3.055346165860572e+62
0.53,3.7164243571893107e+64,1.2896047596633173e+64,2.4268195975259933e+64
0.54,7.857680955664317e+65,3.5479147863780835e+65,4.3097661692862335e+65
0.55,1.6625103415719423e+67,1.2327814099765649e+67,4.297289315953775e+66
0.56,3.5198172333782093e+68,3.839120976156066e+67,3.1359051357626027e+68
0.5700000000000001,7.456710455609775e+69,7.22814060784724e+69,2.2856984776253414e+68
0.58,1.58063698184002e+71,5.964470017610785e+69,1.5209922816639122e+71
0.59,3.3524446830140685e+72,2.9190816595907993e+72,4.3336302342326943e+71
0.6,7.114154259588376e+73,2.0543441750747882e+73,5.0598100845135875e+73
0.61,1.510446214066964e+75,7.744609013556531e+74,7.359853127113108e+74
0.62,3.2084576672352925e+76,2.2091386318630894e+76,9.993190353722033e+75
0.63,6.818450811305162e+77,9.83711525199458e+76,5.834739286105703e+77
0.64,1.4496504082306053e+79,1.388901273573213e+79,6.074913465739236e+77
0.65,3.0833253924581924e+80,7.19382860881237e+78,3.0113871063700685e+80
0.66,6.5606182855606196e+81,5.955732805264507e+81,6.04885480296113e+80
0.67,1.3964674277367418e+83,3.297218313228817e+82,1.0667455964138601e+83
0.68,2.973508790232782e+84,1.6983786711225781e+84,1.275130119110204e+84
0.6900000000000001,6.333622798179896e+85,4.0221739767822924e+85,2.311448821397604e+85
0.7000000000000001,1.349498176635513e+87,2.471395766974022e+86,1.1023585999381108e+87
0.71,2.8762228005320803e+88,2.705762442588596e+88,1.7046035794348437e+87
0.72,6.131916226922796e+89,1.0002035290319079e+88,6.031895874019606e+89
0.73,1.3076366111447715e+91,1.226044255975083e+91,8.159235516968853e+89
0.74,2.789260919840262e+92,5.278577108359786e+91,2.261403209004283e+92
0.75,5.951093684746075e+93,3.7274339435148716e+93,2.2236597412312033e+93
