0.0,0.0,27000000000.046356,27000000000.046356,9.603044986724854
0.004,104040339.84660043,25419038653.796047,25419251571.899063,12.25289011001587
0.008,188106927.13947466,23844894911.84722,23845636866.585789,14.483185052871704
0.012,251507375.75304243,22299426525.868923,22300844812.308899,16.614469051361084
0.016,294758793.7232571,20801776070.47273,20803864314.89518,18.882688999176025
0.02,319305088.0914537,19367323328.1646,19369955308.078278,20.976632118225098
0.024,327228201.3136822,18007234666.74866,18010207623.430935,23.11654305458069
0.028,320985572.2728271,16728508248.217714,16731587490.381641,25.17745304107666
0.032,303192674.198674,15534382722.63123,15537341225.926378,27.24173903465271
0.036000000000000004,276457529.6281,14424970515.812231,14427619455.327351,29.311283111572266
0.04,243265036.42956233,13397989120.55017,13400197399.752357,31.38068914413452
