0.0,0.0,27000000000.00287,27000000000.002869,1.3417091369628906
0.004,102894040.966835,25424731433.669014,25424939639.217705,1.7274000644683838
0.008,185739210.06828246,23859254241.57803,23859977200.710316,2.062727928161621
0.012,247886098.17217037,22322732897.32846,22324109198.87146,2.4031119346618652
0.016,289968900.85170925,20832296747.095734,20834314716.892338,2.7434380054473877
0.02,313595511.39154834,19402144472.592064,19404678618.315216,3.07818603515625
0.024,321026739.2161333,18043069362.885624,18045925030.355011,3.4156291484832764
0.028,314880723.7263435,16762355143.957506,16765312399.186991,3.7613699436187744
0.032,297885967.8566787,15563967274.577559,15566817702.214127,4.096524000167847
0.036000000000000004,272694142.2833574,14448953596.925016,14451526637.048697,4.438799142837524
0.04,241753493.03366613,13415968923.647532,13418146925.401819,4.776163101196289
