0.0,0.0,26419429362.50543,26419429362.505428,9.205344915390015
0.002,1275.5704186585838,25674427830.248585,25674427830.248615,10.595508098602295
0.004,5009.584326934997,24926806966.965096,24926806966.965599,11.812065124511719
0.006,11661.385647708936,24179451791.569668,24179451791.572479,13.019665002822876
0.008,21142.134510034983,23435343309.09544,23435343309.104977,14.251277923583984
0.01,32861.858367699955,22697437212.009064,22697437212.032852,15.471782922744751
0.012,45819.37692396519,21968556717.468628,21968556717.516411,16.67334794998169
0.014,58723.94190888462,21251303120.02825,21251303120.10939,17.888309955596924
0.016,70135.95580058254,20547986275.538803,20547986275.658501,19.10239005088806
0.018000000000000002,78613.71137062596,19860575914.155697,19860575914.311283,20.329729080200195
0.02,82853.66240186541,19190673478.7755,19190673478.954357,21.538918018341064
0.022,81813.16840542872,18539503154.382664,18539503154.563183,22.741650104522705
0.024,74806.78186780367,17907919930.714542,17907919930.870789,23.95761203765869
0.026000000000000002,61569.76618615973,17296431945.389233,17296431945.498817,25.169708013534546
0.028,42285.43073108064,16705233991.103912,16705233991.157431,26.399955987930298
0.03,17575.82705407628,16134248928.384722,16134248928.394295,27.613348960876465
0.032,-11541.843597954059,15583173802.856579,15583173802.860853,28.82950210571289
0.034,-43728.29616641961,15051527692.318777,15051527692.382298,30.041955947875977
0.036000000000000004,-77417.9176380383,14538698667.414795,14538698667.620918,31.248668909072876
0.038,-110929.07130454856,14043987701.278349,14043987701.716446,32.49053597450256
0.04,-142580.12329303595,13566647868.518213,13566647869.267445,33.69771695137024
